food,protein
chicken breast,32
chicken thigh,19
ground chicken,23
turkey breast,30
ground turkey,27
turkey bacon,8
turkey sausage,24
beef,27
ground beef,18
pork,25
ground pork,19
pork sausage,18
ham,17
shrimp,24
canned tuna,27
salmon,22
canned salmon,40
smoked salmon,18
fish sticks,11
yogurt,16
milk,8
cottage,24
cheddar,12
gouda,13
mozzarella,12
eggs,12
protein powder,25
tofu,7
soy milk,7
edamanme,18
black beans,15
almonds roasted,14
pistachios,6
cashews,4
peanut,7
peanut butter,7
almond butter,7
pumpkin seed,15
avocado,4